ENGLISH,FRENCH,GERMAN,ITALIAN,SPANISH
ARE YOU SURE YOU,ETES VOUS SUR,"1. BIST DU SICHER, DASS DU",ITA,ESTAS SEGURO DE
WANT TO DELETE,DE VOULOIR EFFACER,3. LÖSCHEN WILLST?,ITA,QUIERES BORRAR
WANT TO DISCARD,DE VOULOIR ABANDONNER,3. VERWERFEN WILLST?,ITA,QUIERES DESECHAR
THIS TEST?,CE TEST?,2. DIESEN TEST (different word order in German: this part before the two above),ITA,ESTA PRUEBA
PROCESSING DATA,TRAITEMENT DES DONNEES,DATENVERARBEITUNG,ITA,PROCESANDO DATOS
PLEASE WAIT...,ATTENDEZ SVP,BITTE WARTEN...,ITA,ESPERA POR FAVOR...
PLEASE WAIT,ATTENDER,BITTE WARTEN,ITA,ESPERA POR FAVOR
WHILE READING,QUE LES DONNEES SOIENT LUES,WÄHREND GELESEN WIRD,ITA,MIENTRAS LEYENDO
THE RECORD,LE RECORD,DIE AUFZEICHNUNG,ITA,EL RECORD
READING RECORD,LECTURE DES RECORD ,LESEN DER AUFZEICHNUNG ,ITA,LEYENDO RECORD 
LINK,LIER,VERLINKUNG,ITA,ENLAZAR 
LINK SNOW PROFILE,LIER LE PROFILE DE NEIGE,SCHNEEPROFIL VERLINKUNG,ITA,ENLAZAR PERFIL DE NIEVE
ENTER PASSWORD,ENTRER LE MOT DE PASSE,PASSWORT EINGEBEN,ITA,ENTRAR CONTRASENA
DAILY TEST LIMIT,LIMITE DE 254 ,TAGESTESTLIMIT,ITA,LIMITE DE PRUEBAS
OF 254 REACHED!!!,TESTS JOURNALIER ATTEINTE,VON 254 ERREICHT!!!,ITA,DE 254 ALCANZADO
FAVORITE LIMIT OF,LIMITE DE 64,FAVORITEN LIMIT VON,ITA,LIMITE DE FAVORITOS
64 REACHED!,TESTS JOURNALIER ATTEINTE,64 ERREICHT!,ITA,64 ALCANZADO
EDITING DISABLED ,EDITION DESACTIVEE,BEARBEITUNG DEAKTIVIERT,ITA,EDITACION APAGADO
DATE AND TIME,DATE ET HEURE,DATUM UND ZEIT,ITA,FECHA Y HORA
BLUETOOTH,BLUETOOTH,BLUETOOTH,ITA,BLUETOOTH
INITIALIZING BLUETOOTH,INITIALISATION BLUETOOTH,INIZIALISIERUNG BLUETOOTH,ITA,INICIANDO BLUETOOTH
BACK LIGHT,poop,foo,poop,LUZ
GRAPH DETAIL,DETAIL GRAPHE,GRAFIK DETAIL,ITA,DETALLE GRAFICO
GRAPH DETAIL 0,DETAIL GRAPHE 0,GRAFIK DETAIL 0,ITA,DETALLE GRAFICO 0
GRAPH DETAIL 1,DETAIL GRAPHE 1,GRAFIK DETAIL 1,ITA,DETALLE GRAFICO 1
GRAPH DETAIL 2,DETAIL GRAPHE 2,GRAFIK DETAIL 2,ITA,DETALLE GRAFICO 2
GRAPH DETAIL 3,DETAIL GRAPHE 3,GRAFIK DETAIL 3,ITA,DETALLE GRAFICO 3
GRAPH DETAIL 4,DETAIL GRAPHE 4,GRAFIK DETAIL 4,ITA,DETALLE GRAFICO 4
LANGUAGE,LANGUE,SPRACHE,ITA,IDIOMA
REQUIRE SLOPE,PENTE OBLIGATOIRE,BENÖTIGE HANG,ITA,EXIGIR INCLINACION
ABOUT DEVICE,A PROPOS DE L'APPAREIL,ÜBER DAS GERÄT,ITA,INFORMACION DEL APARATO
INITIALIZING,INITIALISATION,INIZIALISIERUNG,ITA,INICIANDO
THE DEVICE IS NOW,L'APPAREIL EST MAINTENANT DECOUVRABLE,DAS GERÄT IST NUN,ITA,EL APARATO ESTA 
DISCOVERABLE.,FOO,WIEDERHERSTELLBAR.,ITA,DETECTABLE
PLEASE CONNECT,CONNECTER VOTRE ,BITTE VERBINDE,ITA,FAVOR DE CONECTAR
YOUR DEVICE,APPAREIL SVP,DEIN GERÄT,ITA,TU APARATO
CONNECTED,CONNECTE,VERBUNDEN,ITA,CONECTADO
PREPARING TO SYNC,PREPARATION DE LA SYNCHRONISATION,VORBEREITUNG ZUR SYNCHRONISIERUNG,ITA,PREPARANDO PARA SINCRONIZAR
SYNCING,SYNCHRONISATION,SYNCHRONISIERUNG,ITA,SINCRONIZANDO
SYNC COMPLETE!,SYNCHRONISATION COMPLETEE,SYNCHRONISIERUNG ABGESCHLOSSEN!,ITA,SINCRONIZADO!
SYNC FAILED!,SYNCHRONISATION ECHOUEE,SYNCHRONISIERUNG FEHLGESCHLAGEN!,ITA,SYNC FALLO!
PLEASE TRY AGAIN,ESSAYER DE NOUVEAU SVP,BITTE ERNEUT VERSUCHEN,ITA,FAVOR DE INTENTAR OTRA VEZ
PLEASE TURN,ALLUMER BLUETOOTH ,BITTE AKTIVIERE,ITA,FAVOR DE 
ON BLUETOOTH,POUR ENVOYER,BLUETOOTH,ITA,APAGAR BLUETOOTH
TO SEND THE FILE,LE FICHIER,UM DIE DATEN ZU SENDEN,ITA,PARA ENVIAR LA CARPETA
NO TESTS AVAILABLE,A SYNCHRONISER,KEINE TESTS VERFÜGBAR,ITA,NO HAY PRUEBAS DISPONIBLES
TO SYNC!,AUCUN TEST ,ZUR SYNCHRONISIERUNG!,ITA,PARA SINCRONIZAR!
DATE,DATE,DATUM,ITA,FECHA
TIME FORMAT,FORMAT DE LHEURE,ZEITFORMAT,ITA,FORMATO HORARIO
TIME ZONE,FUSEAU HORAIRE,ZEITZONE,ITA,ZONA HORARIA
TIME,HEURE,ZEIT,ITA,HORA
ZONE,FUSEAU,ZONE,ITA,ZONA
DAYLIGHT,L'HEURE ,WINTERZEIT,ITA,EL HORARIO
SAVINGS TIME,D'ETE,SOMMERZEIT ,ITA,DE VERANO 
ADELAIDE,ADELAIDE,ADELAIDE,ADELAIDE,ADELAIDE
ALMATY,ALMATY,ALMATY,ALMATY,ALMATY
AUCKLAND,AUCKLAND,AUCKLAND,AUCKLAND,AUCKLAND
BANGKOK,BANGKOK,BANGKOK,BANGKOK,BANGKOK
BOMBAY,BOMBAY,BOMBAY,BOMBAY,BOMBAY
BRASILIA,BRASILIA,BRASILIA,BRASILIA,BRASILIA
BRISBANE,BRISBANE,BRISBANE,BRISBANE,BRISBANE
CAIRO,CAIRO,CAIRO,CAIRO,CAIRO
CAPE TOWN,CAPE TOWN,CAPE TOWN,CAPE TOWN,CAPE TOWN
CAPE VERDE,CAPE VERDE,CAPE VERDE,CAPE VERDE,CAPE VERDE
CHITA,CHITA,CHITA,CHITA,CHITA
DARWIN,DARWIN,DARWIN,DARWIN,DARWIN
EKATERINBURG,EKATERINBURG,EKATERINBURG,EKATERINBURG,EKATERINBURG
EU-CENTRAL,EU-CENTRAL,EU-CENTRAL,EU-CENTRAL,EU-CENTRAL
EU-EASTERN,EU-EASTERN,EU-EASTERN,EU-EASTERN,EU-EASTERN
EU-WESTERN,EU-WESTERN,EU-WESTERN,EU-WESTERN,EU-WESTERN
FIJI,FIJI,FIJI,FIJI,FIJI
HONG KONG,HONG KONG,HONG KONG,HONG KONG,HONG KONG
ICELAND,ICELAND,ICELAND,ICELAND,ICELAND
ISLAMABAD,ISLAMABAD,ISLAMABAD,ISLAMABAD,ISLAMABAD
JAKARTA,JAKARTA,JAKARTA,JAKARTA,JAKARTA
KABUL,KABUL,KABUL,KABUL,KABUL
KALININGRAD,KALININGRAD,KALININGRAD,KALININGRAD,KALININGRAD
KATHMANDU,KATHMANDU,KATHMANDU,KATHMANDU,KATHMANDU
KRASNOYARSK,KRASNOYARSK,KRASNOYARSK,KRASNOYARSK,KRASNOYARSK
LAGOS,LAGOS,LAGOS,LAGOS,LAGOS
MAGADAN,MAGADAN,MAGADAN,MAGADAN,MAGADAN
MEX-CENTRAL,MEX-CENTRAL,MEX-CENTRAL,MEX-CENTRAL,MEX-CENTRAL
MEX-MOUNTAIN,MEX-MOUNTAIN,MEX-MOUNTAIN,MEX-MOUNTAIN,MEX-MOUNTAIN
MEX-PACIFIC,MEX-PACIFIC,MEX-PACIFIC,MEX-PACIFIC,MEX-PACIFIC
MOSCOW,MOSCOW,MOSCOW,MOSCOW,MOSCOW
MUSCAT,MUSCAT,MUSCAT,MUSCAT,MUSCAT
NEWFOUNDLAND,NEWFOUNDLAND,NEWFOUNDLAND,NEWFOUNDLAND,NEWFOUNDLAND
NOVOSIBIRSK,NOVOSIBIRSK,NOVOSIBIRSK,NOVOSIBIRSK,NOVOSIBIRSK
PERTH,PERTH,PERTH,PERTH,PERTH
PETROPAVLOVSK,PETROPAVLOVSK,PETROPAVLOVSK,PETROPAVLOVSK,PETROPAVLOVSK
RIYADH,RIYADH,RIYADH,RIYADH,RIYADH
SAMARA,SAMARA,SAMARA,SAMARA,SAMARA
SAMOA,SAMOA,SAMOA,SAMOA,SAMOA
SYDNEY,SYDNEY,SYDNEY,SYDNEY,SYDNEY
TASMANIA,TASMANIA,TASMANIA,TASMANIA,TASMANIA
TEHRAN,TEHRAN,TEHRAN,TEHRAN,TEHRAN
TOKYO,TOKYO,TOKYO,TOKYO,TOKYO
US-ALASKA,US-ALASKA,US-ALASKA,US-ALASKA,US-ALASKA
US-ARIZONA,US-ARIZONA,US-ARIZONA,US-ARIZONA,US-ARIZONA
US-ATLANTIC,US-ATLANTIC,US-ATLANTIC,US-ATLANTIC,US-ATLANTIC
US-CENTRAL,US-CENTRAL,US-CENTRAL,US-CENTRAL,US-CENTRAL
US-EASTERN,US-EASTERN,US-EASTERN,US-EASTERN,US-EASTERN
US-HAWAII,US-HAWAII,US-HAWAII,US-HAWAII,US-HAWAII
US-MOUNTAIN,US-MOUNTAIN,US-MOUNTAIN,US-MOUNTAIN,US-MOUNTAIN
US-PACIFIC,US-PACIFIC,US-PACIFIC,US-PACIFIC,US PACIFIC
VLADIVOSTOK,VLADIVOSTOK,VLADIVOSTOK,VLADIVOSTOK,VLADIVOSTOK
WINDHOEK,WINDHOEK,WINDHOEK,WINDHOEK,WINDHOEK
SENSOR OUTPUT,SORTIE DU CAPTEUR,ERGEBNIS DES SENSORS,ITA,PRODUCCION DEL SENSOR
PRESSURE:,PRESSION,DRUCK,ITA,PRESION:
DEPTH:,PROFONDEUR,TIEFE,ITA,ANCHO
EYE:,OEIL,AUGE,ITA,OJO 
ROS 1:,ROS 1:,ROS 1,ROS 1:,ROS 1:
ROS 2:,ROS 2:,ROS 2,ROS 2:,ROS 2:
TILT:,INCLINAISON,NEIGUNG,ITA,INCLINACION
